id;soru;cevap;kategori
453;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
454;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
455;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
456;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
457;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
458;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
459;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
460;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
461;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
462;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
463;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
464;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
465;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
466;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
467;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
468;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
469;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
470;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
471;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
472;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
473;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
474;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
475;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
476;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
477;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
478;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
479;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
480;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
481;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
482;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
483;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
484;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
485;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
486;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
487;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
488;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
489;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
490;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
491;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
492;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
493;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
494;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
495;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
496;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
497;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
498;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
499;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
500;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
501;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
502;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
503;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
504;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
505;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
506;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
507;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
508;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
509;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
510;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
511;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
512;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
513;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
514;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
515;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
516;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
517;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
518;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
519;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
520;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
521;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
522;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
523;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
524;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
525;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
526;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
527;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
528;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
529;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
530;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
531;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
532;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
533;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
534;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
535;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
536;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
537;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
538;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
539;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
540;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
541;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
542;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
543;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
544;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
545;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
546;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
547;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
548;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
549;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
550;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
551;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
552;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
553;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
554;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
555;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
556;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
557;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
558;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
559;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
560;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
561;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
562;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
563;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
564;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
565;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
566;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
567;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
568;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
569;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
570;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
571;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
572;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
573;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
574;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
575;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
576;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
577;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
578;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
579;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
580;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
581;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
582;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
583;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
584;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
585;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
586;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
587;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
588;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
589;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
590;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
591;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
592;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
593;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
594;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
595;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
596;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
597;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
598;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
599;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
600;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
601;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
602;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
603;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
604;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
605;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
606;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
607;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
608;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
609;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
610;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
611;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
612;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
613;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
614;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
615;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
616;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
617;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
618;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
619;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
620;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
621;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
622;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
623;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
624;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
625;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
626;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
627;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
628;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
629;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
630;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
631;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
632;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
633;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
634;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
635;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
636;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
637;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
638;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
639;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
640;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
641;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
642;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
643;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
644;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
645;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
646;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
647;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
648;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
649;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
650;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
651;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
652;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
653;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
654;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
655;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
656;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
657;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
658;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
659;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
660;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
661;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
662;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
663;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
664;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
665;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
666;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
667;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
668;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
669;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
670;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
671;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
672;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
673;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
674;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
675;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
676;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
677;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
678;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
679;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
680;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
681;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
